chosen_id,chosen_title,chosen_img,rejected_id,rejected_title,rejected_img,scene,method
http://www.loc.gov/item/2017866455/,"Dresher, Pennsylvania. Driving a loaded truck back from the field at the Spring Run Farm",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35993r.jpg,http://www.loc.gov/item/2017866444/,"[Untitled photo, possibly related to: Dresher, Pennsylvania. Driving a loaded truck back from the field at the Spring Run Farm]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35983r.jpg,"Dresher, Pennsylvania. Driving a loaded truck back from the field at the Spring Run Farm",A_possibly_related
http://www.loc.gov/item/2017866438/,"Dresher, Pennsylvania. Children on a tractor at the Spring Run Farm",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35977r.jpg,http://www.loc.gov/item/2017866441/,"[Untitled photo, possibly related to: Dresher, Pennsylvania. Children on a tractor at the Spring Run Farm]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35980r.jpg,"Dresher, Pennsylvania. Children on a tractor at the Spring Run Farm",A_possibly_related
http://www.loc.gov/item/2017866417/,"Dresher, Pennsylvania. The son of the owner of the Spring Run Farm",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35957r.jpg,http://www.loc.gov/item/2017866439/,"[Untitled photo, possibly related to: Dresher, Pennsylvania. The son of the owner of the Spring Run Farm]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35978r.jpg,"Dresher, Pennsylvania. The son of the owner of the Spring Run Farm",A_possibly_related
http://www.loc.gov/item/2017866436/,"Dresher, Pennsylvania. The owner of the Spring Run Farm looking at his pepper plants",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35975r.jpg,http://www.loc.gov/item/2017866437/,"[Untitled photo, possibly related to: Dresher, Pennsylvania. The owner of the Spring Run Farm looking at his pepper plants]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35976r.jpg,"Dresher, Pennsylvania. The owner of the Spring Run Farm looking at his pepper plants",A_possibly_related
http://www.loc.gov/item/2017866425/,"Dresher, Pennsylvania. Making adjustments on a hay baling machine",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35965r.jpg,http://www.loc.gov/item/2017866423/,"[Untitled photo, possibly related to: Dresher, Pennsylvania. Making adjustments on a hay baling machine]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35963r.jpg,"Dresher, Pennsylvania. Making adjustments on a hay baling machine",A_possibly_related
http://www.loc.gov/item/2017866425/,"Dresher, Pennsylvania. Making adjustments on a hay baling machine",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35965r.jpg,http://www.loc.gov/item/2017866415/,"[Untitled photo, possibly related to: Dresher, Pennsylvania. Making adjustments on a hay baling machine]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35955r.jpg,"Dresher, Pennsylvania. Making adjustments on a hay baling machine",A_possibly_related
http://www.loc.gov/item/2017866421/,"Dresher, Pennsylvania. The owner of the Spring Run Farm driving a tractor",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35961r.jpg,http://www.loc.gov/item/2017866410/,"[Untitled photo, possibly related to: Dresher, Pennsylvania. The owner of the Spring Run Farm driving a tractor]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35900/8d35950r.jpg,"Dresher, Pennsylvania. The owner of the Spring Run Farm driving a tractor",A_possibly_related
http://www.loc.gov/item/2017866212/,"Brooklyn, New York. A woman speaker addressing the church women at the community house of the Church of the Good Shepherd",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35800/8d35887r.jpg,http://www.loc.gov/item/2017866206/,"[Untitled photo, possibly related to: Brooklyn, New York. A woman speaker addressing the church women at the community house of the Church of the Good Shepherd]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35800/8d35883r.jpg,"Brooklyn, New York. A woman speaker addressing the church women at the community house of the Church of the Good Shepherd",A_possibly_related
http://www.loc.gov/item/2017866185/,"Brooklyn, New York. Anniversay Day parade of the Sunday school of the Church of the Good Shepherd",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35800/8d35865r.jpg,http://www.loc.gov/item/2017866195/,"[Untitled photo, possibly related to: Brooklyn, New York. Anniversay Day parade of the Sunday school of the Church of the Good Shepherd]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35800/8d35875r.jpg,"Brooklyn, New York. Anniversay Day parade of the Sunday school of the Church of the Good Shepherd",A_possibly_related
http://www.loc.gov/item/2017866185/,"Brooklyn, New York. Anniversay Day parade of the Sunday school of the Church of the Good Shepherd",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35800/8d35865r.jpg,http://www.loc.gov/item/2017866191/,"[Untitled photo, possibly related to: Brooklyn, New York. Anniversay Day parade of the Sunday school of the Church of the Good Shepherd]",https://tile.loc.gov/storage-services/service/pnp/fsa/8d35000/8d35800/8d35871r.jpg,"Brooklyn, New York. Anniversay Day parade of the Sunday school of the Church of the Good Shepherd",A_possibly_related
